[0x00]		None	Null	0	TLS_NULL_WITH_NULL_NULL
[0x01]	NULL-MD5	RSA	Null	0	TLS_RSA_WITH_NULL_MD5
[0x02]	NULL-SHA	RSA	Null	0	TLS_RSA_WITH_NULL_SHA
[0x03]	EXP-RC4-MD5	RSA(512)	RC4	40, export	TLS_RSA_EXPORT_WITH_RC4_40_MD5
[0x04]	RC4-MD5	RSA	RC4	128	TLS_RSA_WITH_RC4_128_MD5
[0x05]	RC4-SHA	RSA	RC4	128	TLS_RSA_WITH_RC4_128_SHA
[0x06]	EXP-RC2-CBC-MD5	RSA(512)	RC2	40, export	TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5
[0x07]	IDEA-CBC-SHA	RSA	IDEA	128	TLS_RSA_WITH_IDEA_CBC_SHA
[0x08]	EXP-DES-CBC-SHA	RSA(512)	DES	40, export	TLS_RSA_EXPORT_WITH_DES40_CBC_SHA
[0x09]	DES-CBC-SHA	RSA	DES	56	TLS_RSA_WITH_DES_CBC_SHA
[0x0a]	DES-CBC3-SHA	RSA	3DES	168	TLS_RSA_WITH_3DES_EDE_CBC_SHA
[0x0b]	EXP-DH-DSS-DES-CBC-SHA	DH/DSS	DES	40, export	TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA
[0x0c]	DH-DSS-DES-CBC-SHA	DH/DSS	DES	56	TLS_DH_DSS_WITH_DES_CBC_SHA
[0x0d]	DH-DSS-DES-CBC3-SHA	DH/DSS	3DES	168	TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA
[0x0e]	EXP-DH-RSA-DES-CBC-SHA	DH/RSA	DES	40, export	TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA
[0x0f]	DH-RSA-DES-CBC-SHA	DH/RSA	DES	56	TLS_DH_RSA_WITH_DES_CBC_SHA
[0x10]	DH-RSA-DES-CBC3-SHA	DH/RSA	3DES	168	TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA
